text,intent,language
ఎర్రర్ సందేశ వస్తుంది I need support today,Technical Support,Telugu
transaction complete agalilla please help me quickly,Payment Failure,Kannada
ಹಾನಿಗ್ರಸ್ತ ಪ್ರೋಡಕ್ಟ್ ಬಂದಿದೆ please help me quickly,Product Defect,Kannada
website nahi khul rahi,Technical Support,Hindi
The software will not install,Technical Support,English
unauthorized charge lagaya gaya can you check this issue,Billing Dispute,Hindi
पैसे वापस कीजिए I need support today,Refund Request,Hindi
product quality kharab hai please help me quickly,Product Defect,Hindi
password marandhu vitten I need support today,Account Recovery,Tamil
package abhi tak nahi aaya this is urgent,Delivery Inquiry,Hindi
ఎంపిఐ పేమెంట్ విఫలమయ్యింది,Payment Failure,Telugu
When will my parcel be delivered I need support today,Delivery Inquiry,English
software install aguttilla I need support today,Technical Support,Kannada
பயன்பாடு செயலிழந்துவிடும் I need support today,Technical Support,Tamil
account lock agide I need support today,Account Recovery,Kannada
naaku refund kavali please help me quickly,Refund Request,Telugu
bill amount tappuga undi I need support today,Billing Dispute,Telugu
खाता वापस लेना है please help me quickly,Account Recovery,Hindi
I forgot my password I need support today,Account Recovery,English
saman kharab nikla this is urgent,Product Defect,Hindi
Please process a full refund this is urgent,Refund Request,English
விநியோகம் தாமதமாகிவிட்டது,Delivery Inquiry,Tamil
server connect aagavillai,Technical Support,Tamil
password marandhu vitten this is urgent,Account Recovery,Tamil
मुझे रिफंड चाहिए I need support today,Refund Request,Hindi
பணம் திரும்பக் கொடுங்கள் this is urgent,Refund Request,Tamil
enakku refund venum I need support today,Refund Request,Tamil
account la irunthu adhiga panam cut aanathu please help me quickly,Billing Dispute,Tamil
ಪ್ರೋಡಕ್ಟ್ ಗುಣಮಾನ ಸುಂದರವಾಗಿಲ್ಲ this is urgent,Product Defect,Kannada
ಖಾತೆ ಲಾಕ್ ಆಗಿದೆ I need support today,Account Recovery,Kannada
account login aguttilla can you check this issue,Account Recovery,Kannada
mera account lock ho gaya can you check this issue,Account Recovery,Hindi
mere account se zyada paise kate,Billing Dispute,Hindi
பில் தொகை தவறாக உள்ளது this is urgent,Billing Dispute,Tamil
चालान गलत है I need support today,Billing Dispute,Hindi
पैसे वापस कीजिए,Refund Request,Hindi
ದೋಷ ಸಂದೇಶ ಬರುತ್ತಿದೆ this is urgent,Technical Support,Kannada
Password reset is not working I need support today,Account Recovery,English
ஆன்லைன் பணம் வேலை செய்யவில்லை this is urgent,Payment Failure,Tamil
ಸಂಪೂರ್ಣ ಹಣ ಹಿಂದಿರುಗಿಸಿ can you check this issue,Refund Request,Kannada
unauthorized charge lagaya gaya this is urgent,Billing Dispute,Hindi
product quality bagaledu,Product Defect,Telugu
ఉత్పత్తి నాణ్యత తక్కువగా ఉంది,Product Defect,Telugu
Please process a full refund please help me quickly,Refund Request,English
I cannot track my shipment this is urgent,Delivery Inquiry,English
invoice tappuga undi this is urgent,Billing Dispute,Telugu
There is an incorrect amount on my bill can you check this issue,Billing Dispute,English
product quality chennagilla this is urgent,Product Defect,Kannada
பணத்திரும்பு எப்போது வரும் can you check this issue,Refund Request,Tamil
product quality kharab hai can you check this issue,Product Defect,Hindi
product quality kharab hai,Product Defect,Hindi
ಖಾತೆ ವಿಸ್ತರಿಸಬೇಕು please help me quickly,Account Recovery,Kannada
ಶಿಪ್ಮೆಂಟ್ ಟ್ರ್যಾಕ್ ಆಗುತ್ತಿಲ್ಲ please help me quickly,Delivery Inquiry,Kannada
refund inka raledu please help me quickly,Refund Request,Telugu
ఆ్యాప్ క్రాష్ అవుతుంది please help me quickly,Technical Support,Telugu
server connect avvatledu,Technical Support,Telugu
account login avvatledu can you check this issue,Account Recovery,Telugu
Where is my order I need support today,Delivery Inquiry,English
My package has not arrived this is urgent,Delivery Inquiry,English
account recover panna help venum this is urgent,Account Recovery,Tamil
My package has not arrived I need support today,Delivery Inquiry,English
सामान खराब निकला I need support today,Product Defect,Hindi
పూర్తి మొత్తం రిఫండ్ కావాలి I need support today,Refund Request,Telugu
nanna order ellide please help me quickly,Delivery Inquiry,Kannada
சாதனம் வேலை செய்யவில்லை can you check this issue,Product Defect,Tamil
en payment fail aanathu please help me quickly,Payment Failure,Tamil
device kaam nahi kar raha please help me quickly,Product Defect,Hindi
ಖಾತೆ ವಿಸ್ತರಿಸಬೇಕು,Account Recovery,Kannada
ಸಾಫ್ಟ್‌ವೇರ್ ಇನ್‌ಸ್ಟಾಲ್ ಆಗುತ್ತಿಲ್ಲ this is urgent,Technical Support,Kannada
refund yavaga barutte this is urgent,Refund Request,Kannada
ಸರ್ವರ್ ಸಂಪರ್ಕ ಆಗುತ್ತಿಲ್ಲ I need support today,Technical Support,Kannada
లావాదేవీ పూర్తి కాలేదు,Payment Failure,Telugu
డబ్బు తిరిగి ఇవ్వండి this is urgent,Refund Request,Telugu
என் ஆர்டர் எங்கே உள்ளது,Delivery Inquiry,Tamil
app crash avutondi please help me quickly,Technical Support,Telugu
मैं पासवर्ड भूल गया this is urgent,Account Recovery,Hindi
சாதனம் வேலை செய்யவில்லை this is urgent,Product Defect,Tamil
பயன்பாடு செயலிழந்துவிடும் can you check this issue,Technical Support,Tamil
என் பணம் தோல்வியடைந்தது can you check this issue,Payment Failure,Tamil
I forgot my password this is urgent,Account Recovery,English
ಬಿಲ್ ರೀತಿ ತಪ್ಪಾಗಿದೆ this is urgent,Billing Dispute,Kannada
nannu rendu sarlu charge chesaru please help me quickly,Billing Dispute,Telugu
delivery late agide can you check this issue,Delivery Inquiry,Kannada
package inka raledu can you check this issue,Delivery Inquiry,Telugu
app crash aguttide please help me quickly,Technical Support,Kannada
ఆ్యాప్ క్రాష్ అవుతుంది I need support today,Technical Support,Telugu
naa order ekkada undi I need support today,Delivery Inquiry,Telugu
My refund has not arrived I need support today,Refund Request,English
paise wapas kijiye please help me quickly,Refund Request,Hindi
ಅ್ಯಾಪ್ ಕ್ರ್ಯಾಶ್ ಆಗುತ್ತಿದೆ I need support today,Technical Support,Kannada
product broken agide can you check this issue,Product Defect,Kannada
கணக்கு மீட்டெடுக்க உதவி தேவை please help me quickly,Account Recovery,Tamil
mere account se zyada paise kate can you check this issue,Billing Dispute,Hindi
ऑनलाइन पेमेंट काम नहीं कर रहा can you check this issue,Payment Failure,Hindi
The product quality is poor,Product Defect,English
கடவுச்சொல் மறுநிர்ணயம் சாத்தியமில்லை can you check this issue,Account Recovery,Tamil
पार्सल कब डिलीवर होगा can you check this issue,Delivery Inquiry,Hindi
package innum varavillai,Delivery Inquiry,Tamil
Password reset is not working can you check this issue,Account Recovery,English
மென்பொருளைப் பதிக்க முடியவில்லை,Technical Support,Tamil
website open avvatledu please help me quickly,Technical Support,Telugu
मुझे दो बार चार्ज किया गया,Billing Dispute,Hindi
சேதமடைந்த பொருள் வந்துவிட்டது please help me quickly,Product Defect,Tamil
ஆன்லைன் பணம் வேலை செய்யவில்லை please help me quickly,Payment Failure,Tamil
refund eppudu vastundi can you check this issue,Refund Request,Telugu
The card payment was declined this is urgent,Payment Failure,English
product quality kharab hai this is urgent,Product Defect,Hindi
dabbu tirigi ivvandi I need support today,Refund Request,Telugu
ಪ್ಯಾಕೇಜ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ can you check this issue,Delivery Inquiry,Kannada
बिल में गलत राशि है,Billing Dispute,Hindi
card payment jaragaledu I need support today,Payment Failure,Telugu
invoice tappagide can you check this issue,Billing Dispute,Kannada
mera account lock ho gaya this is urgent,Account Recovery,Hindi
account lock aagivittathu please help me quickly,Account Recovery,Tamil
யூபிআই பணம் தோல்வியடைந்தது can you check this issue,Payment Failure,Tamil
ಕಾರ್ಡ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ I need support today,Payment Failure,Kannada
కార్డ్ పేమెంట్ పని చేయటం లేదు can you check this issue,Payment Failure,Telugu
எனக்கு பணத்தைத் திரும்பக் கொடுக்க வேண்டும் can you check this issue,Refund Request,Tamil
account nundi ekkuva dabbu cut ayyindi please help me quickly,Billing Dispute,Telugu
डिवाइस काम नहीं कर रहा,Product Defect,Hindi
ಪಾರ್ಸೆಲ್ ಯಾವಾಗ ಡೆಲಿವರ್ ಆಗುತ್ತೆ can you check this issue,Delivery Inquiry,Kannada
பொருள் குறைபாடுள்ளதாக உள்ளது please help me quickly,Product Defect,Tamil
I received a damaged product this is urgent,Product Defect,English
ऐप क्रैश हो रहा है please help me quickly,Technical Support,Hindi
ఆన్‌లైన్ పేమెంట్ పని చేయటం లేదు I need support today,Payment Failure,Telugu
ఉత్పత్తి విరిగిపోయింది please help me quickly,Product Defect,Telugu
account lock agide this is urgent,Account Recovery,Kannada
நான் கடவுச்சொல்லை மறந்துவிட்டேன் this is urgent,Account Recovery,Tamil
ಸಾಫ್ಟ್‌ವೇರ್ ಇನ್‌ಸ್ಟಾಲ್ ಆಗುತ್ತಿಲ್ಲ can you check this issue,Technical Support,Kannada
account login aguttilla please help me quickly,Account Recovery,Kannada
upi payment fail agide this is urgent,Payment Failure,Kannada
mera payment fail ho gaya I need support today,Payment Failure,Hindi
சேதமடைந்த பொருள் வந்துவிட்டது can you check this issue,Product Defect,Tamil
parcel yavaga deliver agutte I need support today,Delivery Inquiry,Kannada
கணக்கு பூட்டப்பட்டுவிட்டது this is urgent,Account Recovery,Tamil
account recover cheyali I need support today,Account Recovery,Telugu
అనుమతి లేని ఛార్జ్ చేసారు this is urgent,Billing Dispute,Telugu
నాకు రిఫండ్ కావాలి,Refund Request,Telugu
மென்பொருளைப் பதிக்க முடியவில்லை I need support today,Technical Support,Tamil
The card payment was declined I need support today,Payment Failure,English
card payment nadakkavillai,Payment Failure,Tamil
ರಿಫಂಡ್ ಯಾವಾಗ ಬರುತ್ತೆ I need support today,Refund Request,Kannada
సాఫ్టवేర్ ఇన్‌స్టాల్ చేయటం లేదు this is urgent,Technical Support,Telugu
पैकेज अभी तक नहीं आया I need support today,Delivery Inquiry,Hindi
item defective agide can you check this issue,Product Defect,Kannada
account lock agide,Account Recovery,Kannada
mera order kahan hai this is urgent,Delivery Inquiry,Hindi
నేను పాస్‌వర్డ్ మర్చిపోయాను can you check this issue,Account Recovery,Telugu
నన్ను రెండుసార్లు ఛార్జ్ చేసారు I need support today,Billing Dispute,Telugu
பணத்திரும்பு இன்னும் வரவில்லை I need support today,Refund Request,Tamil
ఉత్పత్తి నాణ్యత తక్కువగా ఉంది this is urgent,Product Defect,Telugu
बिल में गलत राशि है can you check this issue,Billing Dispute,Hindi
naaku refund kavali this is urgent,Refund Request,Telugu
upi payment fail aanathu,Payment Failure,Tamil
पार्सल कब डिलीवर होगा I need support today,Delivery Inquiry,Hindi
account la irunthu adhiga panam cut aanathu can you check this issue,Billing Dispute,Tamil
मेरा खाता लॉक हो गया this is urgent,Account Recovery,Hindi
I received a damaged product I need support today,Product Defect,English
nanna payment fail agide,Payment Failure,Kannada
கார்டு பணம் வேலை செய்யவில்லை this is urgent,Payment Failure,Tamil
bill mein galat amount hai I need support today,Billing Dispute,Hindi
app crash avutondi can you check this issue,Technical Support,Telugu
damaged product vandhathu can you check this issue,Product Defect,Tamil
damaged product mila,Product Defect,Hindi
card payment agalilla please help me quickly,Payment Failure,Kannada
பரல் எப்போது விநியோகிக்கப்படும் this is urgent,Delivery Inquiry,Tamil
mujhe do baar charge kiya gaya please help me quickly,Billing Dispute,Hindi
account login avvatledu this is urgent,Account Recovery,Telugu
mujhe do baar charge kiya gaya can you check this issue,Billing Dispute,Hindi
full amount refund venum,Refund Request,Tamil
என் ஆர்டர் எங்கே உள்ளது can you check this issue,Delivery Inquiry,Tamil
यूपीआई पेमेंट फेल हो गया I need support today,Payment Failure,Hindi
upi payment fail ayyindi,Payment Failure,Telugu
Where is my order this is urgent,Delivery Inquiry,English
The product quality is poor can you check this issue,Product Defect,English
ಸಾಧನೆ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ this is urgent,Product Defect,Kannada
డబ్బు తిరిగి ఇవ్వండి I need support today,Refund Request,Telugu
enakku refund venum please help me quickly,Refund Request,Tamil
ಸಂಪೂರ್ಣ ಹಣ ಹಿಂದಿರುಗಿಸಿ please help me quickly,Refund Request,Kannada
సర్వర్‌కు కనెక్ట్ చేయటం లేదు this is urgent,Technical Support,Telugu
ಕಾರ್ಡ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,Payment Failure,Kannada
en order enga irukku this is urgent,Delivery Inquiry,Tamil
The item is defective can you check this issue,Product Defect,English
పరికరం పని చేయటం లేదు this is urgent,Product Defect,Telugu
bill amount tappuga undi can you check this issue,Billing Dispute,Telugu
refund innum varavillai can you check this issue,Refund Request,Tamil
ಪ್ರೋಡಕ್ಟ್ ಗುಣಮಾನ ಸುಂದರವಾಗಿಲ್ಲ can you check this issue,Product Defect,Kannada
खाते में लॉगिन नहीं हो रहा can you check this issue,Account Recovery,Hindi
शिपमेंट ट्रैक नहीं हो रहा can you check this issue,Delivery Inquiry,Hindi
वेबसाइट नहीं खुल रही I need support today,Technical Support,Hindi
transaction complete aagavillai I need support today,Payment Failure,Tamil
ऐप क्रैश हो रहा है this is urgent,Technical Support,Hindi
parcel eppodhu deliver aagum this is urgent,Delivery Inquiry,Tamil
parcel kab deliver hoga I need support today,Delivery Inquiry,Hindi
shipment track aagavillai this is urgent,Delivery Inquiry,Tamil
mera account lock ho gaya please help me quickly,Account Recovery,Hindi
My payment failed during checkout,Payment Failure,English
parcel eppudu deliver avutundi I need support today,Delivery Inquiry,Telugu
डिलीवरी लेट हो रही है,Delivery Inquiry,Hindi
transaction complete kaledu this is urgent,Payment Failure,Telugu
app crash aguttide can you check this issue,Technical Support,Kannada
device velai seyyavillai,Product Defect,Tamil
app crash ho raha hai,Technical Support,Hindi
full amount refund venum please help me quickly,Refund Request,Tamil
Please return my money I need support today,Refund Request,English
refund innu bandilla I need support today,Refund Request,Kannada
முழுத் தொகையும் திரும்பக் கொடுக்க வேண்டும் I need support today,Refund Request,Tamil
నేను పాస్‌వర్డ్ మర్చిపోయాను please help me quickly,Account Recovery,Telugu
ನನಗೆ ರಿಫಂಡ್ ಬೇಕು I need support today,Refund Request,Kannada
I keep seeing an error message I need support today,Technical Support,English
प्रोडक्ट टूटा हुआ है,Product Defect,Hindi
The product arrived broken,Product Defect,English
I see an unauthorized charge on my account can you check this issue,Billing Dispute,English
card payment agalilla,Payment Failure,Kannada
ವೆಬ್‌ಸೈಟ್ ತೆರೆಯುತ್ತಿಲ್ಲ I need support today,Technical Support,Kannada
ಡೆಲಿವರಿ ತಡವಾಗಿದೆ can you check this issue,Delivery Inquiry,Kannada
I cannot track my shipment,Delivery Inquiry,English
பொருளின் தரம் மோசமாக உள்ளது I need support today,Product Defect,Tamil
naa payment fail ayyindi,Payment Failure,Telugu
ఎర్రర్ సందేశ వస్తుంది can you check this issue,Technical Support,Telugu
పార్సల్ ఎప్పుడు డిలివర్ అవుతుంది can you check this issue,Delivery Inquiry,Telugu
server connect aagavillai can you check this issue,Technical Support,Tamil
error message aa raha hai this is urgent,Technical Support,Hindi
delivery late ho rahi hai can you check this issue,Delivery Inquiry,Hindi
I was charged twice for the same order can you check this issue,Billing Dispute,English
enakku rendu murai charge pannirukanga this is urgent,Billing Dispute,Tamil
account login aagavillai please help me quickly,Account Recovery,Tamil
unauthorized charge vesaru,Billing Dispute,Telugu
The software will not install this is urgent,Technical Support,English
ఎంపిఐ పేమెంట్ విఫలమయ్యింది I need support today,Payment Failure,Telugu
software install nahi ho raha please help me quickly,Technical Support,Hindi
నన్ను రెండుసార్లు ఛార్జ్ చేసారు can you check this issue,Billing Dispute,Telugu
package inka raledu I need support today,Delivery Inquiry,Telugu
account ninda hecchu hana kaditagide I need support today,Billing Dispute,Kannada
ಪಾಸ್‌ವರ್ಡ್ ಮರೆತಿದ್ದೇನೆ,Account Recovery,Kannada
ಹಣ ಹಿಂದಿರುಗಿಸಿ I need support today,Refund Request,Kannada
bill mein galat amount hai this is urgent,Billing Dispute,Hindi
account login aguttilla I need support today,Account Recovery,Kannada
వస్తువు లోపభరితంగా ఉంది this is urgent,Product Defect,Telugu
invoice thavaraaga ullathu,Billing Dispute,Tamil
bill amount tappuga undi this is urgent,Billing Dispute,Telugu
I cannot log in to my account can you check this issue,Account Recovery,English
ವಿನಿಮಯ ಪೂರ್ಣ ಆಗಿಲ್ಲ can you check this issue,Payment Failure,Kannada
transaction complete kaledu,Payment Failure,Telugu
unauthorized charge vesaru I need support today,Billing Dispute,Telugu
parcel eppudu deliver avutundi can you check this issue,Delivery Inquiry,Telugu
డిలివరీ ఆలస్యమయ్యింది can you check this issue,Delivery Inquiry,Telugu
card payment jaragaledu this is urgent,Payment Failure,Telugu
enakku refund venum this is urgent,Refund Request,Tamil
ಅ್ಯಾಪ್ ಕ್ರ್ಯಾಶ್ ಆಗುತ್ತಿದೆ,Technical Support,Kannada
account login aguttilla this is urgent,Account Recovery,Kannada
ಶಿಪ್ಮೆಂಟ್ ಟ್ರ್যಾಕ್ ಆಗುತ್ತಿಲ್ಲ I need support today,Delivery Inquiry,Kannada
प्रोडक्ट टूटा हुआ है this is urgent,Product Defect,Hindi
मेरे खाते से ज्यादा पैसे काटे this is urgent,Billing Dispute,Hindi
Where is my order,Delivery Inquiry,English
damaged product mila this is urgent,Product Defect,Hindi
account recover karna hai,Account Recovery,Hindi
mera payment fail ho gaya please help me quickly,Payment Failure,Hindi
shipment track avvatledu I need support today,Delivery Inquiry,Telugu
en order enga irukku please help me quickly,Delivery Inquiry,Tamil
en order enga irukku I need support today,Delivery Inquiry,Tamil
account lock ayyindi I need support today,Account Recovery,Telugu
unauthorized charge madalagide,Billing Dispute,Kannada
My refund has not arrived please help me quickly,Refund Request,English
ದೋಷ ಸಂದೇಶ ಬರುತ್ತಿದೆ I need support today,Technical Support,Kannada
app crash avutondi I need support today,Technical Support,Telugu
product broken ah vandhathu please help me quickly,Product Defect,Tamil
mujhe refund chahiye can you check this issue,Refund Request,Hindi
I see an unauthorized charge on my account please help me quickly,Billing Dispute,English
ರಿಫಂಡ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ I need support today,Refund Request,Kannada
பரல் எப்போது விநியோகிக்கப்படும் please help me quickly,Delivery Inquiry,Tamil
கார்டு பணம் வேலை செய்யவில்லை can you check this issue,Payment Failure,Tamil
naaku refund kavali I need support today,Refund Request,Telugu
account lock agide can you check this issue,Account Recovery,Kannada
transaction complete nahi hua please help me quickly,Payment Failure,Hindi
లావాదేవీ పూర్తి కాలేదు this is urgent,Payment Failure,Telugu
सामान खराब निकला please help me quickly,Product Defect,Hindi
nanna order ellide,Delivery Inquiry,Kannada
ಖಾತೆ ಲಾಕ್ ಆಗಿದೆ,Account Recovery,Kannada
பரல் எப்போது விநியோகிக்கப்படும் I need support today,Delivery Inquiry,Tamil
password marethiddene can you check this issue,Account Recovery,Kannada
मेरा खाता लॉक हो गया I need support today,Account Recovery,Hindi
app crash aguttide,Technical Support,Kannada
ಇನ್‌ವಾಯ್ಸ್ ತಪ್ಪಾಗಿದೆ please help me quickly,Billing Dispute,Kannada
My account is locked this is urgent,Account Recovery,English
पासवर्ड रीसेट नहीं हो रहा I need support today,Account Recovery,Hindi
product quality mosam can you check this issue,Product Defect,Tamil
ఇన్‌వాయిస్ తప్పుగా ఉంది this is urgent,Billing Dispute,Telugu
ನನಗೆ ಎರಡು ಬಾರಿ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ this is urgent,Billing Dispute,Kannada
பொருள் உடைந்து வந்துவிட்டது this is urgent,Product Defect,Tamil
The delivery is delayed this is urgent,Delivery Inquiry,English
error message baruttide can you check this issue,Technical Support,Kannada
ఆ్యాప్ క్రాష్ అవుతుంది can you check this issue,Technical Support,Telugu
பொருள் உடைந்து வந்துவிட்டது can you check this issue,Product Defect,Tamil
ಪಾಸ್‌ವರ್ಡ್ ಮರೆತಿದ್ದೇನೆ can you check this issue,Account Recovery,Kannada
error message aa raha hai can you check this issue,Technical Support,Hindi
UPI payment is not going through please help me quickly,Payment Failure,English
account recover karna hai please help me quickly,Account Recovery,Hindi
paise wapas kijiye this is urgent,Refund Request,Hindi
షిప్‌మెంట్ ట్రాక్ చేయటం లేదు please help me quickly,Delivery Inquiry,Telugu
shipment track aguttilla,Delivery Inquiry,Kannada
invoice thavaraaga ullathu can you check this issue,Billing Dispute,Tamil
கணக்கு மீட்டெடுக்க உதவி தேவை can you check this issue,Account Recovery,Tamil
delivery late agide this is urgent,Delivery Inquiry,Kannada
ಅ್ಯಾಪ್ ಕ್ರ್ಯಾಶ್ ಆಗುತ್ತಿದೆ please help me quickly,Technical Support,Kannada
The website is not opening this is urgent,Technical Support,English
online payment pani cheyatledu,Payment Failure,Telugu
எனக்கு இரண்டு முறை கட்டணம் விதிக்கப்பட்டுள்ளது can you check this issue,Billing Dispute,Tamil
बिल में गलत राशि है I need support today,Billing Dispute,Hindi
delivery late ho rahi hai,Delivery Inquiry,Hindi
product broken ah vandhathu I need support today,Product Defect,Tamil
delivery late ayyindi this is urgent,Delivery Inquiry,Telugu
सॉफ़्टवेयर इंस्टॉल नहीं हो रहा,Technical Support,Hindi
రిఫండ్ ఎప్పుడు వస్తుంది,Refund Request,Telugu
ಪಾಸ್‌ವರ್ಡ್ ರಿಸೆಟ್ ಆಗುತ್ತಿಲ್ಲ can you check this issue,Account Recovery,Kannada
shipment track aagavillai I need support today,Delivery Inquiry,Tamil
ಖಾತೆ ಲಾಕ್ ಆಗಿದೆ please help me quickly,Account Recovery,Kannada
వస్తువు లోపభరితంగా ఉంది I need support today,Product Defect,Telugu
சேவையகத்துடன் இணைய முடியவில்லை,Technical Support,Tamil
त्रुटि संदेश आ रहा है please help me quickly,Technical Support,Hindi
Net banking payment did not complete I need support today,Payment Failure,English
पैकेज अभी तक नहीं आया please help me quickly,Delivery Inquiry,Hindi
error message varudhu,Technical Support,Tamil
shipment track nahi ho raha,Delivery Inquiry,Hindi
saman kharab nikla please help me quickly,Product Defect,Hindi
प्रोडक्ट की गुणवत्ता खराब है can you check this issue,Product Defect,Hindi
लेनदेन पूरा नहीं हुआ I need support today,Payment Failure,Hindi
ఎంపిఐ పేమెంట్ విఫలమయ్యింది please help me quickly,Payment Failure,Telugu
app crash aaguthu this is urgent,Technical Support,Tamil
రిఫండ్ ఇంకా రాలేదు please help me quickly,Refund Request,Telugu
website open aagavillai please help me quickly,Technical Support,Tamil
I cannot track my shipment can you check this issue,Delivery Inquiry,English
డబ్బు తిరిగి ఇవ్వండి can you check this issue,Refund Request,Telugu
పార్సల్ ఎప్పుడు డిలివర్ అవుతుంది,Delivery Inquiry,Telugu
password reset avvatledu I need support today,Account Recovery,Telugu
parcel yavaga deliver agutte please help me quickly,Delivery Inquiry,Kannada
பொருள் உடைந்து வந்துவிட்டது,Product Defect,Tamil
full amount refund kavali please help me quickly,Refund Request,Telugu
The app keeps crashing can you check this issue,Technical Support,English
account recover cheyali this is urgent,Account Recovery,Telugu
பணத்திரும்பு எப்போது வரும்,Refund Request,Tamil
பிழை செய்தி வருகிறது I need support today,Technical Support,Tamil
device kelasa maduttilla this is urgent,Product Defect,Kannada
bill amount tappagide,Billing Dispute,Kannada
ನನ್ನ ಆರ್ಡರ್ ಎಲ್ಲಿದೆ can you check this issue,Delivery Inquiry,Kannada
அங்கீகாரம் இல்லாத கட்டணம் விதிக்கப்பட்டுள்ளது can you check this issue,Billing Dispute,Tamil
server se connect nahi ho raha I need support today,Technical Support,Hindi
ಕಾರ್ಡ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ this is urgent,Payment Failure,Kannada
damaged product vachindi please help me quickly,Product Defect,Telugu
పాస్‌వర్డ్ రీసెట్ చేయటం లేదు this is urgent,Account Recovery,Telugu
ಪ್ರೋಡಕ್ಟ್ ಒಡೆದಿದೆ please help me quickly,Product Defect,Kannada
सर्वर से कनेक्ट नहीं हो रहा I need support today,Technical Support,Hindi
hana vapas madi can you check this issue,Refund Request,Kannada
వెబ్‌సైట్ తెరవటం లేదు please help me quickly,Technical Support,Telugu
பொதி இன்னும் வரவில்லை I need support today,Delivery Inquiry,Tamil
ఉత్పత్తి విరిగిపోయింది,Product Defect,Telugu
damaged product bandide,Product Defect,Kannada
Password reset is not working please help me quickly,Account Recovery,English
password reset aguttilla,Account Recovery,Kannada
account login avvatledu please help me quickly,Account Recovery,Telugu
website open aguttilla,Technical Support,Kannada
Password reset is not working this is urgent,Account Recovery,English
ಹಣ ಹಿಂದಿರುಗಿಸಿ please help me quickly,Refund Request,Kannada
product quality mosam,Product Defect,Tamil
refund innu bandilla,Refund Request,Kannada
शिपमेंट ट्रैक नहीं हो रहा this is urgent,Delivery Inquiry,Hindi
चालान गलत है can you check this issue,Billing Dispute,Hindi
ಹಣ ಹಿಂದಿರುಗಿಸಿ,Refund Request,Kannada
account nundi ekkuva dabbu cut ayyindi,Billing Dispute,Telugu
ಪ್ರೋಡಕ್ಟ್ ಗುಣಮಾನ ಸುಂದರವಾಗಿಲ್ಲ I need support today,Product Defect,Kannada
ಸಾಫ್ಟ್‌ವೇರ್ ಇನ್‌ಸ್ಟಾಲ್ ಆಗುತ್ತಿಲ್ಲ please help me quickly,Technical Support,Kannada
Extra fees were added to my bill please help me quickly,Billing Dispute,English
பணம் திரும்பக் கொடுங்கள் please help me quickly,Refund Request,Tamil
refund eppudu vastundi please help me quickly,Refund Request,Telugu
naa payment fail ayyindi please help me quickly,Payment Failure,Telugu
ಖಾತೆ ವಿಸ್ತರಿಸಬೇಕು can you check this issue,Account Recovery,Kannada
பிழை செய்தி வருகிறது this is urgent,Technical Support,Tamil
My payment failed during checkout this is urgent,Payment Failure,English
నాకు రిఫండ్ కావాలి can you check this issue,Refund Request,Telugu
கடவுச்சொல் மறுநிர்ணயம் சாத்தியமில்லை please help me quickly,Account Recovery,Tamil
मेरे खाते से ज्यादा पैसे काटे can you check this issue,Billing Dispute,Hindi
transaction complete aagavillai this is urgent,Payment Failure,Tamil
account lock aagivittathu this is urgent,Account Recovery,Tamil
damaged product mila can you check this issue,Product Defect,Hindi
నాకు రిఫండ్ కావాలి I need support today,Refund Request,Telugu
password marchipoyanu I need support today,Account Recovery,Telugu
server connect aguttilla I need support today,Technical Support,Kannada
பொதி இன்னும் வரவில்லை this is urgent,Delivery Inquiry,Tamil
मुझे रिफंड चाहिए this is urgent,Refund Request,Hindi
card payment nadakkavillai this is urgent,Payment Failure,Tamil
मेरा रिफंड अभी तक नहीं मिला can you check this issue,Refund Request,Hindi
The product quality is poor this is urgent,Product Defect,English
product quality bagaledu can you check this issue,Product Defect,Telugu
ಆನ್‌ಲೈನ್ ಪೇಮೆಂಟ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ this is urgent,Payment Failure,Kannada
I want a refund for my order,Refund Request,English
card payment nadakkavillai please help me quickly,Payment Failure,Tamil
password marethiddene please help me quickly,Account Recovery,Kannada
website open aguttilla can you check this issue,Technical Support,Kannada
పాస్‌వర్డ్ రీసెట్ చేయటం లేదు,Account Recovery,Telugu
వ్యతिcrമైన ఉత్పత్తి వచ్చింది please help me quickly,Product Defect,Telugu
प्रोडक्ट की गुणवत्ता खराब है,Product Defect,Hindi
అనుమతి లేని ఛార్జ్ చేసారు please help me quickly,Billing Dispute,Telugu
ನನಗೆ ರಿಫಂಡ್ ಬೇಕು can you check this issue,Refund Request,Kannada
account recover karna hai this is urgent,Account Recovery,Hindi
सर्वर से कनेक्ट नहीं हो रहा please help me quickly,Technical Support,Hindi
पूरा पैसा वापस चाहिए,Refund Request,Hindi
The transaction failed after I paid this is urgent,Payment Failure,English
package innu bandilla this is urgent,Delivery Inquiry,Kannada
